id,gender,age,visual_vividness,view_duration,lights,computer,emotion,hallucination_categorical,hallucination_description,emerge_time,hallucination_frequency,hallucination_intensity,hallucination_duration,consciousness_change,consciousness_description,hallucination_location,percent_missing,auditory_strength,gustatory_strength,haptic_strength,interoceptive_strength,olfactory_strength,visual_strength,foot_strength,hand_strength,head_strength,mouth_strength,torso_strength,perceptual_strength,action_strength,sensorimotor_strength,visual_vividness_z,description_length,visual_vividness_cat,visual_vividness_cat_reordered,visual_vividness_cat_reordered_codes,visual_vividness_cat_codes,visual_vividness_bicat
1821,Female,29,10,Less than 10min.,No,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['lot', 'colour', 'blue', 'merged', 'like', 'effect', 'red', 'blue']",A few seconds,Constantly,,,Became relaxed or sleepy,,,12.5,0.9718020542857144,0.4902094171428571,0.7141523275714287,1.118027211,0.5010804321428571,3.789675870285714,0.5033528561428572,0.9195135788571428,3.3171207877142854,0.9599131515714284,0.6842552014285713,3.973349339714286,3.3171207877142854,4.086775762857142,1.5631689660872228,8,hyperphantasia,hyperphantasia,3,3,hyperphantasia
1822,Male,39,3,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['lot', 'shape', 'felt', 'like', 'drawn']",1-2 minutes,Frequently,"Clear, but not vivid",1-2 seconds,"No change, fully alert in the here and now",,In the center,0.0,1.0396284832,0.6091208415999999,2.4027028354,1.3408177306,0.6136763476,3.0634478352000003,1.0846867166,2.5128070175999997,2.7167418545999995,1.1422305764,1.0357393482,3.7837485872,3.2025313284,3.9130718954,-0.6626968069948487,5,aphantasia,aphantasia,1,0,aphantasia
1823,Male,40,8,10min.,Yes,Computer,"Enjoyable, didn't want it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Complex objects (e.g., animals, faces, buildings), Complex environments (e.g., cityscapes, forests)","['lot', 'tiled', 'geometric', 'shape', 'almost', 'right', 'away', 'bit', 'time', 'started', 'see', 'scene', 'looked', 'like', 'old', 'disney', 'cell', 'animation', 'like', 'mickey', 'mouse', 'steering', 'steam', 'boat', 'animated', 'scene', 'colour', 'colourful', 'rotating', 'temple', 'idol', 'last', 'long']",1-2 minutes,Frequently,"Clear, but not vivid","Constant, morphing from one image to the next","Became relaxed or sleepy, As if in a dreamlike state, Lost a sense of time","It felt like I was dreaming towards the end. When the white noise cut out, it was a real shock. I was surprised it had been 10 minutes.",All over the screen,15.151515151515152,1.3007183697142857,0.3075956071428571,1.370722148607143,1.0204633120357145,0.4172288703214286,3.488978390285714,0.8086682932142856,1.554359734178571,2.6197005411071426,1.0086329813571429,0.7471526336428572,3.594820727214286,2.8238288053214284,3.765160744678571,0.9272073166352024,33,typical_imagery,typical_imagery,0,2,typical_imagery
1824,Female,41,8,10min.,Yes,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['lot', 'zig', 'zag', 'morphed', 'geometric', 'kind', 'web']",1-2 minutes,Constantly,"Weak, faint, or insubstantial",,"No change, fully alert in the here and now",,All over the screen,42.857142857142854,1.268014706,0.315257353,1.6779411765,1.053125,0.2599264705,3.63952205875,0.50685307,1.35509868425,2.70884502925,0.8003289472499999,0.5680372805,3.63952205875,2.70884502925,3.65202205875,0.9272073166352024,7,typical_imagery,typical_imagery,0,2,typical_imagery
1825,Female,53,1,10min.,Yes,Mobile phone,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['mainly', 'color', 'red', 'black', 'first', 'continued', 'color', 'became', 'varied', 'include', 'green', 'yellow', 'orange', 'flash', 'purple', 'star', 'like', 'pattern', 'emerged', 'fairly', 'early', 'disappeared', 'couple', 'minute', 'pattern', 'focal', 'point', 'matter', 'looked']",1-2 minutes,Frequently,"Weak, faint, or insubstantial",Brief moment or flash,As if in a dreamlike state,"I felt a bit tired, but more dreamy",In the center,20.689655172413794,1.1048803807826086,0.4540445849999999,0.7228605667391307,0.8334260897391306,0.4176927025652173,3.3411366759565215,0.4754161036086956,1.0687938749565218,2.628596650434783,0.9884232397826086,0.6036656878695653,3.4405155579130433,2.7034874347391304,3.6243215668695656,-1.298658456446869,29,aphantasia,aphantasia,1,0,aphantasia
1826,Female,23,0,Less than 10min.,Yes,Mobile phone,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['mainly', 'hexagonal', 'shape', 'next', 'placed', 'together', 'edge', 'edge', 'usually', 'made', 'larger', 'hexagonal', 'shape', 'field', 'around', 'hexagonal', 'shape', 'like', 'edge', 'edge', 'almost', 'like', 'looking', 'zoom', 'fractal', 'repeating', 'video', 'zoom', 'make', 'sense', 'actually', 'much', 'reminded', 'thing', 'look', 'like', 'acid', 'see', 'similar', 'hexagonal', 'shape', 'etched', 'whatever', 'looking', 'one', 'point', 'almost', 'looked', 'like', 'geometric', 'flower', 'could', 'see', 'light', 'green', 'sometimes', 'middle', 'image', 'almost', 'like', 'thing', 'stare', 'red', 'look', 'wall', 'kind', 'green']",1-2 minutes,Frequently,"Clear, but not vivid",Brief moment or flash,"Became relaxed or sleepy, I was entranced ","I just felt like I couldn't look away for a while. And then I did, but it just kept my attention. Part of it was me trying to makeout what I was seeing. ",,10.44776119402985,1.0758859475000002,0.4554663518,1.3248081768333333,1.0166653618,0.5421461742666666,3.4764346350833346,0.6925378814166668,1.3323527354833336,2.7848887215833336,0.9660579418333332,0.6549573116999999,3.6199064682833337,2.8414519896666666,3.719356437200001,-1.6166392811728794,67,aphantasia,aphantasia,1,0,aphantasia
1827,Female,38,5,Less than 10min.,Yes,Mobile phone,"Unpleasant, wanted it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['many', 'bright', 'indistinguishable', 'color', 'clear', 'moving', 'morphing', 'shape', 'rapid', 'inconsistency', 'oscillating', 'red', 'black', 'started', 'give', 'headache', 'stopped', 'vision', 'felt', 'indistinguishably', 'different', 'minute', 'experience']",A few seconds,Frequently,"Clear, but not vivid","Constant, morphing from one image to the next","No change, fully alert in the here and now",,All over the screen,8.695652173913043,1.3321123478571426,0.4038218797142857,1.377246834428571,1.4373179096190476,0.3698553105238095,3.3819759483809526,0.9713399982380954,1.5108704475238095,2.9437153692380953,1.0333474294285712,0.8855444652380953,3.751215223047621,3.156193237761905,3.828978960380953,-0.0267351575428282,23,typical_imagery,typical_imagery,0,2,typical_imagery
1828,Male,37,4,Less than 10min.,Yes,Computer,"Enjoyable, didn't want it to stop","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex objects (e.g., animals, faces, buildings)","['many', 'building', 'also', 'rocket', 'launching', 'also', 'ball', 'light', 'moving', 'around', 'several', 'voriicies', 'several', 'different', 'moving', 'geometric', 'pattern', 'clear', 'vivid', 'hexagon', 'unmoving', 'like', 'arranging', 'crystal', 'latex']",1-2 minutes,Frequently,"Weak, faint, or insubstantial, Clear, but not vivid","Persisting several seconds, Constant, morphing from one image to the next","Became relaxed or sleepy, As if in a dreamlike state, Felt transported to another place, Lost a sense of time","i just felt like i was pulled into another place where the foundations for ideas are formed
","In the center, In the periphery, All over the screen",12.0,1.310452434545455,0.2530904467727273,1.5151196842727273,0.7992742551818179,0.3590829792272728,3.3701215773636366,1.130634882090909,1.6736487550909096,2.527482007227273,1.039274707090909,0.9090857135454544,3.4526273069545463,2.811514749909091,3.609514177045455,-0.3447159822688385,25,typical_imagery,typical_imagery,0,2,typical_imagery
1829,Male,43,9,Less than 10min.,No,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['many', 'cross', 'geometric', 'pattern']",They began to emerge immediately,Constantly,Clear and moderately vivid,"Constant, morphing from one image to the next","No change, fully alert in the here and now",,All over the screen,0.0,1.356442577,0.1183035715,1.587272409,0.315870098,0.1292892155,3.690607493,0.55175945375,1.3993785012500002,2.5598739495,0.6703956585,0.38600315125,3.690607493,2.6848739495,3.690607493,1.2451881413612125,4,typical_imagery,typical_imagery,0,2,typical_imagery
1830,Female,51,4,Longer than 10min.,No,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['many', 'different', 'color', 'red', 'yellow', 'purple', 'blue', 'green', 'grey', 'mostly', 'square', 'shape', 'ball', 'ray', 'image', 'like', 'plant', 'flower', 'well', 'defined', 'one', 'thing', 'impressive', 'felling', 'sunshine', 'face', 'sun', 'shadow', 'hand', 'hand', 'face', 'limiting', 'surrounding', 'field', 'view', 'room', 'slightly', 'dark', 'could', 'clearly', 'feel', 'sunshine']",A few seconds,Frequently,"Weak, faint, or insubstantial",Brief moment or flash,Became relaxed or sleepy,,All over the screen,4.761904761904762,0.9070088385750004,0.3954724584,1.539074186375,0.88529054595,0.6274218193250001,3.779833263675,0.8529585047250002,1.5223024081749996,2.8387137741999995,1.0009879869000002,0.7657763225,3.9029891927249984,3.0981122704749997,3.964921228699999,-0.3447159822688385,42,typical_imagery,typical_imagery,0,2,typical_imagery
1831,Male,29,9,10min.,Yes,Computer,"Enjoyable, didn't want it to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), I saw static like from a television set, such as the black and white fuzzies.","['many', 'different', 'object', 'began', 'move', 'quickly', 'began', 'move', 'fast', 'entire', 'image', 'engulfed', 'field', 'vision', 'almost', 'closing', 'eye', 'seeing', 'mind', 'eye']",A few seconds,Frequently,"Very vivid, almost real, or popping out of the screen",Persisting several seconds,"Became relaxed or sleepy, As if in a dreamlike state","When the imagery completely took over my visual field in felt like a dreamlike state, it was relaxing. It felt like I was rolling my eyes to the back of my head.","All over the screen, My entire field of vision was engulfed by the images.",20.0,1.2127483648750002,0.3569920513125,1.3922445374999997,1.4520565563125003,0.4309949198749999,3.5950712901250004,1.5346204051250003,1.6561038010625002,3.3894815162499996,1.2540178571250002,1.2302292188125,3.748196290125,3.70609335825,4.06654424325,1.2451881413612125,20,typical_imagery,typical_imagery,0,2,typical_imagery
1832,Female,21,7,Didn't time it,Yes,Mobile phone,"Unpleasant, wanted it to stop","Colors other than red and black, Complex objects (e.g., animals, faces, buildings), Complex environments (e.g., cityscapes, forests)","['many', 'face', 'ome', 'old', 'woman', 'man', 'young', 'lady', 'lady', 'holding', 'axe', 'man', 'running', 'also', 'scorpio']",1-2 minutes,Constantly,"Clear, vivid, and/or bright","Persisting several seconds, Constant, morphing from one image to the next","Felt transported to another place, Lost a sense of time, Lost a sense of space",I had anxiety. My heart raced faster. It was frightening. ,All over the screen,13.333333333333334,2.138357394230769,0.5528478057692306,2.26221001223077,1.4205379588461535,1.0292106586153849,3.775019751384615,1.3551807325384613,2.0290405671538463,2.878137187846154,1.564394944769231,1.5093618455384616,3.8818573582307687,3.4757080380769234,4.0558278322307695,0.6092264919091922,15,typical_imagery,typical_imagery,0,2,typical_imagery
1833,Female,16,5,Didn't time it,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Like I was racing through a tunnel that kept twisting and turning like a roller coaster.","['many', 'geometric', 'shape', 'constantly', 'racing', 'though', 'black', 'red', 'striped', 'tunnel', 'going', 'everywhere', 'like', 'roller', 'coaster', 'fun', 'made', 'really', 'dizzy', 'stopped']",1-2 minutes,Constantly,"Weak, faint, or insubstantial, Clear, but not vivid",1-2 seconds,As if in a dreamlike state,I was not aware of my surroundings and the flickering was somewhat hypnotic.,All over the screen,0.0,1.2225641002,0.25939035705,1.2609647279,1.28566409895,0.2838559634499999,3.2683687773,1.1777512715,1.51698575485,2.4595112782499995,0.90602075045,0.88237938595,3.4826448167,2.68145879405,3.5792524817000007,-0.0267351575428282,20,typical_imagery,typical_imagery,0,2,typical_imagery
1834,Female,16,9,Less than 10min.,Yes,Mobile phone,No feeling about it one way or the other,"Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex objects (e.g., animals, faces, buildings), Complex environments (e.g., cityscapes, forests)","['many', 'thing', 'experience', 'like', 'watching', 'movie', 'face', 'people', 'cartoon', 'place', 'one', 'moment', 'people', 'playing', 'football', 'sometimes', 'became', 'realistic', 'texture', 'time', 'went', 'cartoon', 'texture', 'ball', 'moving', 'people', 'hit', 'could', 'see', 'green', 'floor', 'blue', 'sky', 'also', 'face', 'people', 'dancing', 'forest', 'besides', 'donald', 'mickey', 'mouse', 'could', 'see', 'shouting', 'moving', 'like', 'watching', 'mickey', 'mouse', 'real', 'life', 'colourful', 'sorry', 'english', 'first', 'language', 'tried', 'describe', 'better', 'could']","A few seconds, 1-2 minutes",Constantly,"Very vivid, almost real, or popping out of the screen","Constant, morphing from one image to the next",As if in a dreamlike state,,"In the center, In the periphery, All over the screen",11.475409836065571,1.864194582055556,0.470584572,1.433513712222222,1.1874394026296295,0.6570858384629629,3.389738549462964,1.1886920171296296,1.6458088376666669,2.965185260907407,1.5294486884814813,1.02456803662963,3.654305194870371,3.2857368802777778,3.8265230246481496,1.2451881413612125,61,typical_imagery,typical_imagery,0,2,typical_imagery
1835,Male,50,1,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['moiré', 'pattern', 'flicker', 'faint', 'blurry', 'tried', 'unfocus', 'eye', 'might', 'converge', 'blurry', 'ball', 'moved', 'focus']",,,,,"No change, fully alert in the here and now","I tried to relax and occasionally could see my visual field become more cohesive if I relaxed enough, meaning the patterns I was seeing seemed more themselves rather than emergent from the flicker. They remained faint and blurry even then. But the experience was headachey enough that I couldn't stay relaxed.",,21.428571428571427,0.980974215818182,0.1250312724545454,0.8925407324545453,1.2027300872727271,0.1825937391818181,3.559259389545454,0.859106992,1.2451288649090908,3.078281041363637,0.6215827001818183,0.7193263907272727,3.559259389545454,3.291917405,3.848309499272727,-1.298658456446869,14,aphantasia,aphantasia,1,0,aphantasia
1836,Female,26,5,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['morphing', 'rolling', 'spinning', 'shape', 'unlike', 'kaleidoscope', 'black', 'red', 'initial', 'image', 'somewhat', 'like', 'fanned', 'grid', 'star', 'various', 'location', 'grid', 'line', 'connected', 'several', 'minute', 'ganzflicker', 'harder', 'concentration', 'image', 'began', 'spin', 'alternatively', 'roll', 'inward', 'shape', 'golden', 'ratio', 'image', 'moved', 'volition', 'moved', 'along', 'eye', 'trying', 'track', 'across', 'made', 'difficult', 'focus', 'eventually', 'moving', 'image', 'led', 'edge', 'broke', 'concentration', 'time', 'eye', 'became', 'unfocused', 'yet', 'trained', 'center', 'thought', 'rough', 'outline', 'neighborhood', 'rooftop', 'much', 'later', 'point', 'could', 'imagine', 'spiraling', 'space', 'along', 'edge', 'earth', 'atmosphere', 'towards', 'sun', 'mean', 'clear', 'picture', 'though', 'feel', 'like', 'partially', 'mind', 'rather', 'though', 'definitely', 'seeing', 'major', 'shape', 'informed', 'imagining', 'difficult', 'explain', 'mind', 'eye', 'feel', 'know', 'exists', 'yet', 'ca', 'fully', 'mind', 'yet', 'professional', 'successfully', 'relies', 'ability', 'conceptualize', 'room', 'building', 'mind', 'committing', 'paper', 'best', 'explain', 'say', 'thing', 'like', 'shape', 'idea', 'mind', 'leiu', 'active', 'visual', 'mind', 'constant', 'stream', 'consiousness']",They began to emerge immediately,Constantly,Clear and moderately vivid,"Constant, morphing from one image to the next",Became relaxed or sleepy,"75% of the experience was in a 'fully alert in the here and now' state, while the last 25% became bored and sleepy.","All over the screen, All over the screen, but the most active parts of the images were clustered at the center",10.687022900763358,1.2534993878461531,0.3184490246581198,1.2138525942478635,1.351177445162393,0.3609471019658118,2.994843140615386,0.9555468062136754,1.4147415945726487,2.7246882293333337,1.0837006960341882,0.8258698802991454,3.385934094897438,2.895081930623931,3.6013410234358987,-0.0267351575428282,131,typical_imagery,typical_imagery,0,2,typical_imagery
1837,Male,28,6,Longer than 10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['mostly', 'beam', 'light', 'shooting', 'place', 'eventually', 'thought', 'looked', 'like', 'scribble', 'flash', 'periphery', 'kind', 'like', 'small', 'child', 'attempt', 'drawing', 'towards', 'end', 'band', 'light', 'became', 'band', 'rainbow', 'began', 'write', 'towards', 'end', 'sort', 'felt', 'like', 'flying', 'building', 'perimeter', 'defined', 'rainbow', 'weird', 'feel', 'like', 'kept', 'going', 'sense', 'would', 'solidified', 'maybe', 'try', 'soon']",1-2 minutes,Constantly,,,"No change, fully alert in the here and now",,,8.333333333333332,1.477456885613636,0.3545749639545454,1.2948638437954545,1.3077773459772724,0.457694674090909,3.094799926500001,1.0473038631590907,1.8578840122954543,2.811256066113636,1.2347756672045456,0.9547366533863636,3.4614921836136365,3.1353750884545453,3.7117522981590914,0.2912456671831819,48,typical_imagery,typical_imagery,0,2,typical_imagery
1838,Female,33,5,Didn't time it,No,Mobile phone,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['mostly', 'geometric', 'shape', 'continuous', 'flickering', 'completely', 'red', 'completely', 'black']",A few seconds,Frequently,Clear and moderately vivid,"Constant, morphing from one image to the next",As if in a dreamlike state,It was if I was being hypnotized.,All over the screen,0.0,0.8453340595555556,0.2469226578888889,1.055174291888889,0.6435094407777778,0.2732026143333333,3.4845769788888887,0.6462010827777777,1.241183637111111,2.360315822111111,0.7469478435555555,0.5295516158888889,3.4845769788888887,2.360315822111111,3.4845769788888887,-0.0267351575428282,9,typical_imagery,typical_imagery,0,2,typical_imagery
1839,Male,32,5,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Complex environments (e.g., cityscapes, forests)","['mostly', 'geometric', 'shape', 'intermittently', 'staircase', 'blue', 'star', 'like', 'going', 'space', 'warp', 'speed', 'twice', 'lake']",A few seconds,Frequently,"Weak, faint, or insubstantial, Clear and moderately vivid, Geometric shapes and colors were clear and vivid, but not the landscapes. I saw the impression of a lake a couple times, and stairs many times.","Constant, morphing from one image to the next","No change, fully alert in the here and now",,All over the screen,0.0,1.1948127497142855,0.2602435272857142,1.5422973575714285,1.152733417928571,0.3154165175,3.5766367510714288,1.4681151845714282,1.515138204357143,2.388586838214286,0.8848489395714286,0.9975634552142856,3.668473485785715,2.787156265928572,3.741190993785714,-0.0267351575428282,14,typical_imagery,typical_imagery,0,2,typical_imagery
1840,Female,44,5,Didn't time it,Yes,Mobile phone,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['mostly', 'geometric', 'shape', 'circle', 'expanded', 'outward', 'square', 'moved', 'robotically', 'triangle', 'hexagon', 'everything', 'looked', 'alive']",They began to emerge immediately,Constantly,"Clear, but not vivid",1-2 seconds,Became relaxed or sleepy,It was relaxing to view. ,All over the screen,21.428571428571427,1.0609818329999998,0.5603448796363636,1.8314470444545456,1.0252271721818182,0.5717494494545455,3.7022187263636366,1.120730242181818,1.775490914818182,2.431373370545454,1.094394268,1.0749828523636364,3.732521756636363,2.4722824614545456,3.798971973090909,-0.0267351575428282,14,typical_imagery,typical_imagery,0,2,typical_imagery
1841,Female,27,9,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['mostly', 'red', 'black', 'also', 'navy', 'blue', 'sky', 'blue', 'bright', 'yellow', 'orange', 'travelling', 'moving', 'geometric', 'shape', 'also', 'expanding', 'growing', 'smaller', 'breathing', 'one', 'point', 'looked', 'like', 'gate', 'made', 'glowing', 'ember', 'lava', 'side', 'colour', 'defined', 'shape', 'blue', 'line', 'small', 'circle', 'appeared', 'top', 'monitor']",1-2 minutes,Constantly,"Clear, vivid, and/or bright","Constant, morphing from one image to the next","Became relaxed or sleepy, As if in a dreamlike state","There was a feeling of relaxation, like a calm meditative state, that still lasts now.",All over the screen,7.5,0.8326463493783782,0.3034436127297296,1.2542796112972971,0.8057905666486487,0.3261549662972972,3.8204944661081086,0.7159771795675672,1.373092320945946,2.645419804081081,0.9732810050270267,0.832453281918919,3.923271280945947,2.8012964647297296,4.003853632567568,1.2451881413612125,40,typical_imagery,typical_imagery,0,2,typical_imagery
1842,Male,43,4,10min.,Yes,Computer,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black","['mostly', 'red', 'line', 'shape']",A few seconds,Frequently,Clear and moderately vivid,1-2 seconds,"Became relaxed or sleepy, Lost a sense of time",I was surprised that 10 minutes had passed,All over the screen,0.0,0.85049019625,0.15441176475,1.42320261425,0.5343137255,0.138888889,4.0098039215,0.6146432255,1.15072239425,2.35413165275,0.5099089635,0.4594187675,4.0098039215,2.35413165275,4.0098039215,-0.3447159822688385,4,typical_imagery,typical_imagery,0,2,typical_imagery
1843,Female,26,6,Less than 10min.,Yes,Mobile phone,"Somewhat enjoyable, but easy to stop","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['mostly', 'sea', 'waterfall', 'ship', 'felling', 'hard', 'wind', 'face']",1-2 minutes,Frequently,"Clear, but not vivid",1-2 seconds,As if in a dreamlike state,,In the center,12.5,1.9906746032857143,0.461904762,2.5728174604285714,0.7238095237142858,0.7210317459999999,3.3128968252857143,1.3501611171428571,1.864017185857143,2.815091299571429,1.436537773,1.3159684927142856,3.923611111,2.896723952714286,3.923611111,0.2912456671831819,8,typical_imagery,typical_imagery,0,2,typical_imagery
1844,Male,37,9,Less than 10min.,No,Computer,No feeling about it one way or the other,"Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes)","['moving', 'pattern', 'elliptical', 'movement']",A few seconds,Constantly,Clear and moderately vivid,Persisting several seconds,Became relaxed or sleepy,,All over the screen,0.0,1.451563959,0.013888889,1.9487628385,1.06092436975,0.0285947712499999,3.851423903,2.961742593,3.00738804675,2.9037562660000003,1.48297979825,2.2431861609999997,3.851423903,3.667624946,4.13065015625,1.2451881413612125,4,typical_imagery,typical_imagery,0,2,typical_imagery
1845,Male,45,6,10min.,Yes,Computer,"Somewhat unpleasant, but didn't mind going on","Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex objects (e.g., animals, faces, buildings)","['multiple', 'face', 'shape', 'constantly', 'morphing', 'seemed', 'interacting', 'way', 'also', 'color', 'shade', 'grey', 'dark', 'blue', 'dark', 'orange']",5-7 minutes,Frequently,Clear and moderately vivid,"Constant, morphing from one image to the next",As if in a dreamlike state,I felt like that moment where you wake up and you aren't sure if you are still dreaming or not.,All over the screen,18.75,0.6487119949230771,0.5121448038461538,1.1340820943846153,0.805684129230769,0.4596441611538461,3.865019638076923,0.624028894923077,1.0911994437692307,2.8968519783846154,1.049993865769231,0.5982304245384615,3.896693846153847,2.9038449853846156,4.0017320828461544,0.2912456671831819,16,typical_imagery,typical_imagery,0,2,typical_imagery
1846,Male,31,9,10min.,Yes,Computer,"Unpleasant, wanted it to stop","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex objects (e.g., animals, faces, buildings), Complex environments (e.g., cityscapes, forests)","['multiple', 'gear', 'turned', 'one', 'side', 'green', 'ray', 'light', 'building', 'goping', 'donw', 'power', 'cable', 'took', 'one', 'point', 'another', 'spaceship', 'city', 'one', 'point', 'eye', 'center', 'looking', 'pulsating', 'remember', 'couple', 'circular', 'saw', 'side', 'turning', 'sometimes', 'color', 'would', 'spin', 'around', 'edge', 'intense', 'red', 'yellow', 'orange', 'sometimes', 'controlled', 'flow', 'image', 'time', 'image', 'moved', 'felt', 'tense', 'time', 'little', 'dizzy']",They began to emerge immediately,Frequently,Clear and moderately vivid,"Constant, morphing from one image to the next",As if in a dreamlike state,"
It was like dreaming but not having control of what I saw, I felt anxious and although my flow of ideas was the same constantly, the images superimposed on the intense red did not allow me to maintain a line of thought beyond wanting it to end","In the periphery, All over the screen",11.320754716981131,1.1695007741914896,0.3189495370638297,1.3155692641914891,1.0491280082340426,0.370545435106383,3.476966529106383,0.8979332723404257,1.613080354787234,2.5814607359361696,0.8213889193404255,0.89230672106383,3.671790376851064,2.8408309995744676,3.7906789495106383,1.2451881413612125,53,typical_imagery,typical_imagery,0,2,typical_imagery
1847,Female,39,10,Less than 10min.,No,Mobile phone,"Somewhat enjoyable, but easy to stop",Colors other than red and black,"['face', 'splotch', 'maybe', 'blue']",A few seconds,Infrequently,"Weak, faint, or insubstantial",Brief moment or flash,"Became relaxed or sleepy, As if in a dreamlike state, Lost a sense of time",I felt as if I needed to go to sleep and felt a little bit like out of body,All over the screen,0.0,0.911377709,0.20746904025,1.1383513932500002,0.592763158,0.1686532507499999,3.702941176499999,0.25804093575,0.85277777775,3.38998538025,1.396491228,0.33866959075,4.018730650249999,3.38998538025,4.3082043345,1.5631689660872228,4,hyperphantasia,hyperphantasia,3,3,hyperphantasia
1848,Male,18,10,10min.,Yes,Mobile phone,"Somewhat unpleasant, but didn't mind going on","Distortions (e.g., screen warping or rotating), Simple shapes or patterns (e.g., ball of light, lines, grids, spiderwebs, geometric shapes), Colors other than red and black, Complex objects (e.g., animals, faces, buildings), Complex environments (e.g., cityscapes, forests)","['flipping', 'fast', 'possible', 'zoom', 'looked', 'like', 'watching', 'theatre']",1-2 minutes,Constantly,"Very vivid, almost real, or popping out of the screen","Persisting several seconds, Constant, morphing from one image to the next","Felt transported to another place, Lost a sense of space",,"In the center, In the periphery, All over the screen",25.0,1.2681286550000002,0.255952381,0.9052422723333332,1.46679198,0.246031746,3.371365914833333,1.3846491228333335,1.6464912281666668,2.9197368420000003,1.2074561401666666,1.1741228069999998,3.5856516291666662,3.332017543833333,3.701754386,1.5631689660872228,8,hyperphantasia,hyperphantasia,3,3,hyperphantasia
1849,Female,59,9,Less than 10min.,Yes,Mobile phone,"Unpleasant, wanted it to stop","Complex environments (e.g., cityscapes, forests)","['natural', 'outdoor', 'environment', 'mountain', 'seascape']",1-2 minutes,Frequently,Clear and moderately vivid,Persisting several seconds,"No change, fully alert in the here and now",,In the center,0.0,1.8921497584,0.6291666666,1.530567633,0.8855917873999999,1.8771859903999997,4.1592391304000005,2.0473099414,1.8394152046,2.9943859648,1.1739181286,1.6610526316,4.1592391304000005,2.9943859648,4.1592391304000005,1.2451881413612125,5,typical_imagery,typical_imagery,0,2,typical_imagery
